channel_id,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes
UCxm11rMvAIGSBTST_Lsxp-Q,89605,276923,1534,79,2019,36
UCNqqeUSpNXMTWsE0VNGIm2g,87984,221152,627,32,1369,41
UCFffQdR3wcB_lO5K2r2jphA,81040,101672,8602,60,1063,73
UCYNECNTatn3pyhGOdCT-MvQ,50904,84435,168,24,423,29
UClPB8yKfVZVk79Lv5GsQHPg,48432,143570,204,13,330,13
UCEGJixZ73Cw3Kjy5fWODD3A,44286,95452,163,30,814,11
UCSaqZfWk95MtBuX1mV9hYQw,35764,121340,101,34,405,7
UC2qqSvlpGXXk6Y6-vkaR-rg,24176,48828,39,6,299,1
UCKjGFWtm8Z_ANK_ejXH0kuA,22926,48124,92,21,272,13
UCOg9jPWX9820Ipd1e__nZeg,22627,44348,140,7,183,15
UC8112rL9OPORK5ZstuHDrNg,17639,39284,23,0,75,2
UCWjbtqwzKQ0WOG_hKMncF3g,15214,30970,48,18,189,20
UCuTXXAzN-uOQpU9NA-E0kbw,13977,29875,88,5,104,6
UCyiF87k7RmDIa6BZQHlz97g,13658,29802,22,5,121,6
UCiyGKNCvFvWldieKA4dQ3zw,11937,21586,17,3,106,6
UCa-xU6FTqf76tL6Iu7kOe7Q,8490,15833,36,26,148,6
UCLpOiHPOitascuyfxt7A-9A,6108,7557,37,7,53,2
UCZ3vZfgvGSw_RtxQHmq_l9w,4948,7979,492,4,100,2
UC1HcEUox5K31Zs7jdDcCfIw,4336,10872,40,7,58,8
UCWoybbeuxa4Ig5pfWIu2Abw,4248,6753,9,0,10,2
UCi9UaJYgO-dc0aiiRWDAakA,3579,5669,41,26,118,2
UCt3XspKWeV4R_dGa-jWVdEg,3012,5391,13,0,34,5
UC1veizWI1JKS-OGkysw6v5A,2345,4682,8,0,22,0
UCsfv4IrL5Xm0bj9HCWiYKYQ,2125,2868,13,2,32,-1
UCTPGPRQWdzovgBgcOYIsyXw,863,1832,14,0,15,0
UCGJ5iXR7Y-RvWLCzlVRgv8g,729,1484,6,4,0,0
UC4a3_El94ZJCYZ-QlTuGB7w,582,912,3,2,14,2
UCxpphCszc7JOd8yII2NY-_Q,549,1106,40,0,8,0
UC2q3cOqytgIRDz7Rat8iM1w,40,42,1,0,1,0
UCuZ-3S-sYojFwsolvH3UisA,12,2,3,0,0,0
UCIXJYY5zQusztPhXqnzlBHw,1,0,0,0,0,0
UCBGCbkljFbQHm_8w8HFWAKA,0,0,15346,0,0,0
UC5-gWZXAQqSGVfPHkA7NRiQ,303733949,664746616,960346,93589,3885867,106151
UCgJMQU7JOIoP-YnrhH_P-bA,129281429,315496210,457984,123028,2916462,30000
UCihfR9bbPcwuMS5Y7Uxc5dw,124155413,287830642,216285,28508,1216451,38053
